PLAYER,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jagadeesha  Suchith,0,0,0,0,0,0,0,48,0,0,0,0
James  Faulkner,0,0,0,0,0,57,181,144,77,54,0,0
James  Franklin,0,0,0,107,220,0,0,0,0,0,0,0
James  Hopes,221,0,0,196,0,0,0,0,0,0,0,0
Jason  Holder,0,0,0,0,0,0,16,0,22,0,0,0
Jason  Roy,0,0,0,0,0,0,0,0,0,59,120,0
Jasprit  Bumrah,0,0,0,0,0,0,0,0,0,16,0,0
Jaydev  Unadkat,0,0,0,0,0,0,0,0,0,0,49,0
Jesse  Ryder,0,56,0,292,256,0,0,0,0,0,0,0
Jimmy  Neesham,0,0,0,0,0,0,42,0,0,0,0,0
Jofra  Archer,0,0,0,0,0,0,0,0,0,0,15,67
Joginder  Sharma,0,20,0,0,0,0,0,0,0,0,0,0
Johan  Botha,0,47,0,230,58,43,0,31,0,0,0,0
Jonny  Bairstow,0,0,0,0,0,0,0,0,0,0,0,445
Jos  Buttler,0,0,0,0,0,0,0,0,255,272,548,311
KL  Rahul,0,0,0,0,0,20,166,142,397,0,659,593
Kagiso  Rabada,0,0,0,0,0,0,0,0,0,55,0,14
Kamran  Akmal,128,0,0,0,0,0,0,0,0,0,0,0
Kane  Williamson,0,0,0,0,0,0,0,31,124,256,735,156
Karan  Goel,76,124,0,0,0,0,0,0,0,0,0,0
Karanveer  Singh,0,0,0,0,0,0,0,11,0,0,0,0
Karn  Sharma,0,0,0,0,0,85,42,104,36,49,0,0
Karun  Nair,0,0,0,0,0,9,330,181,357,281,301,5
Kedar  Jadhav,0,0,76,18,0,152,149,189,42,267,24,162
Keemo  Paul,0,0,0,0,0,0,0,0,0,0,0,18
Kevin  Pietersen,0,93,236,0,305,0,294,0,73,0,0,0
Kevon  Cooper,0,0,0,0,38,39,39,0,0,0,0,0
Kieron  Pollard,0,0,273,146,220,420,273,419,207,385,133,279
Krishnappa  Gowtham,0,0,0,0,0,0,0,0,0,0,126,18
Krunal  Pandya,0,0,0,0,0,0,0,0,237,243,228,183
Kuldeep  Yadav,0,0,0,0,0,0,0,0,0,20,0,12
Kumar  Sangakkara,320,332,357,358,200,120,0,0,0,0,0,0
LPC  Silva,40,0,0,0,0,0,0,0,0,0,0,0
Lasith  Malinga,0,0,0,0,55,0,0,0,0,0,0,0
Laxmi  Ratan Shukla,163,83,36,0,75,0,31,0,0,0,0,0
Lee  Carseldine,0,81,0,0,0,0,0,0,0,0,0,0
Lendl  Simmons,0,0,0,0,0,0,394,540,8,137,0,0
Liam  Livingstone,0,0,0,0,0,0,0,0,0,0,0,71
Luke  Pomersbach,152,41,0,51,0,58,0,0,0,0,0,0
