PLAYER,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jacques  Kallis,4,6,13,7,15,16,4,0,0,0,0,0
Jagadeesha  Suchith,0,0,0,0,0,0,0,10,0,0,0,2
James  Faulkner,0,0,0,1,3,28,11,8,2,6,0,0
James  Franklin,0,0,0,3,6,0,0,0,0,0,0,0
James  Hopes,7,0,0,7,0,0,0,0,0,0,0,0
Jaskaran  Singh,0,0,6,0,0,0,0,0,0,0,0,0
Jason  Behrendorff,0,0,0,0,0,0,0,0,0,0,0,5
Jason  Holder,0,0,0,0,0,2,1,0,2,0,0,0
Jasprit  Bumrah,0,0,0,0,0,3,5,3,15,20,17,19
Javon  Searles,0,0,0,0,0,0,0,0,0,0,2,0
Jayant  Yadav,0,0,0,0,0,0,0,2,2,0,0,1
Jaydev  Unadkat,0,0,4,6,0,13,9,0,0,24,11,10
Jeevan  Mendis,0,0,0,0,0,1,0,0,0,0,0,0
Jesse  Ryder,0,3,0,4,1,0,0,0,0,0,0,0
Jimmy  Neesham,0,0,0,0,0,0,1,0,0,0,0,0
Jofra  Archer,0,0,0,0,0,0,0,0,0,0,15,11
Joginder  Sharma,8,2,2,0,0,0,0,0,0,0,0,0
Johan  Botha,0,3,0,7,9,5,0,1,0,0,0,0
Johan  van der Wath,0,0,0,3,0,0,0,0,0,0,0,0
John  Hastings,0,0,0,0,0,0,1,0,2,0,0,0
Juan  Theron,0,0,6,0,2,0,0,1,0,0,0,0
Junior  Dala,0,0,0,0,0,0,0,0,0,0,0,0
KC  Cariappa,0,0,0,0,0,0,0,1,3,4,0,0
KM  Asif,0,0,0,0,0,0,0,0,0,0,3,0
KP  Appanna,0,2,1,0,6,0,0,0,0,0,0,0
Kagiso  Rabada,0,0,0,0,0,0,0,0,0,6,0,25
Kamran  Khan,0,6,3,0,0,0,0,0,0,0,0,0
Kane  Richardson,0,0,0,0,0,2,9,0,7,0,0,0
Kane  Williamson,0,0,0,0,0,0,0,0,0,0,0,0
Karan  Goel,0,0,0,0,0,0,0,0,0,0,0,0
Karanveer  Singh,0,0,0,0,0,0,11,1,0,0,0,0
Karn  Sharma,0,0,0,0,0,11,15,10,0,13,4,1
Keemo  Paul,0,0,0,0,0,0,0,0,0,0,0,9
Kevin  Pietersen,0,4,3,0,0,0,0,0,0,0,0,0
Kevon  Cooper,0,0,0,0,10,19,4,0,0,0,0,0
Khaleel  Ahmed,0,0,0,0,0,0,0,0,0,0,0,19
Kieron  Pollard,0,0,15,10,16,10,2,3,0,0,0,0
Krishmar  Santokie,0,0,0,0,0,0,3,0,0,0,0,0
Krishnappa  Gowtham,0,0,0,0,0,0,0,0,0,0,11,1
Krunal  Pandya,0,0,0,0,0,0,0,0,6,10,12,12
Kuldeep  Yadav,0,0,0,0,0,0,0,0,6,12,17,4
Kulwant  Khejroliya,0,0,0,0,0,0,0,0,0,0,2,1
Kyle  Abbott,0,0,0,0,0,0,0,0,2,0,0,0
LPC  Silva,0,0,0,0,0,0,0,0,0,0,0,0
Lakshmipathy  Balaji,11,13,7,10,11,12,12,0,0,0,0,0
Lasith  Malinga,0,18,15,28,22,20,16,24,0,11,0,16
Laxmi  Ratan Shukla,6,3,3,0,1,1,1,0,0,0,0,0
Lee  Carseldine,0,1,0,0,0,0,0,0,0,0,0,0
Lendl  Simmons,0,0,0,0,0,0,1,0,0,0,0,0
Liam  Livingstone,0,0,0,0,0,0,0,0,0,0,0,0
Liam  Plunkett,0,0,0,0,0,0,0,0,0,0,4,0
Lockie  Ferguson,0,0,0,0,0,0,0,0,0,3,0,2
Love  Ablish,0,0,3,0,0,0,0,0,0,0,0,0
Luke  Wright,0,0,0,0,0,2,0,0,0,0,0,0
Lungi  Ngidi,0,0,0,0,0,0,0,0,0,0,11,0
MF  Maharoof,15,4,8,0,0,0,0,0,0,0,0,0
Mahipal  Lomror,0,0,0,0,0,0,0,0,0,0,0,0
Makhaya  Ntini,7,0,0,0,0,0,0,0,0,0,0,0
Mandeep  Singh,0,0,0,0,1,0,0,0,0,0,0,0
Manoj  Tiwary,0,0,1,0,0,0,0,0,0,0,0,0
Manpreet  Gony,17,5,1,4,3,7,0,0,0,0,0,0
Marchant  de Lange,0,0,0,0,3,0,2,0,0,0,0,0
Marcus  Stoinis,0,0,0,0,0,0,0,0,8,2,3,2
Mark  Wood,0,0,0,0,0,0,0,0,0,0,0,0
Marlon  Samuels,0,0,0,0,8,1,0,0,0,0,0,0
Mashrafe  Mortaza,0,0,0,0,0,0,0,0,0,0,0,0
Matt  Henry,0,0,0,0,0,0,0,0,0,1,0,0
Mayank  Markande,0,0,0,0,0,0,0,0,0,0,15,1
Michael  Clarke,0,0,0,0,2,0,0,0,0,0,0,0
Mitchell  Johnson,0,0,0,0,0,24,17,9,2,7,2,0
Mitchell  Marsh,0,0,2,7,0,7,0,0,4,0,0,0
Mitchell  McClenaghan,0,0,0,0,0,0,0,18,17,19,14,3
Mitchell  Santner,0,0,0,0,0,0,0,0,0,0,0,4
Mitchell  Starc,0,0,0,0,0,0,14,20,0,0,0,0
Moeen  Ali,0,0,0,0,0,0,0,0,0,0,3,6
Mohammad  Asif,8,0,0,0,0,0,0,0,0,0,0,0
Mohammad  Hafeez,1,0,0,0,0,0,0,0,0,0,0,0
Mohammad  Nabi,0,0,0,0,0,0,0,0,0,2,1,8
Mohammad  Shami,0,0,0,0,0,1,7,0,5,5,3,19
Mohammed  Siraj,0,0,0,0,0,0,0,0,0,10,11,7
Mohit  Sharma,0,0,0,0,0,20,23,14,13,13,7,1
Moises  Henriques,0,2,1,0,0,7,4,11,12,1,0,0
Morne  Morkel,0,0,0,13,25,7,12,10,10,0,0,0
Mujeeb  Ur Rahman,0,0,0,0,0,0,0,0,0,0,14,3
Munaf  Patel,14,16,3,22,15,3,0,0,0,1,0,0
Murali  Kartik,3,4,9,1,4,9,1,0,0,0,0,0
Murali  Vijay,0,0,0,0,0,0,0,0,0,0,0,0
Murugan  Ashwin,0,0,0,0,0,0,0,0,7,0,3,5
Musavir  Khote,2,0,0,0,0,0,0,0,0,0,0,0
Mustafizur  Rahman,0,0,0,0,0,0,0,0,17,0,7,0
Muttiah  Muralitharan,11,14,15,2,15,3,3,0,0,0,0,0
Nathan  Coulter-Nile,0,0,0,0,0,1,2,15,3,15,0,0
Nathu  Singh,0,0,0,0,0,0,0,0,0,1,0,0
Navdeep  Saini,0,0,0,0,0,0,0,0,0,0,0,11
Nayan  Doshi,0,0,1,1,0,0,0,0,0,0,0,0
Nitish  Rana,0,0,0,0,0,0,0,0,0,0,4,3
Nuwan  Kulasekara,0,0,0,1,4,0,0,0,0,0,0,0
Nuwan  Zoysa,2,0,0,0,0,0,0,0,0,0,0,0
Oshane  Thomas,0,0,0,0,0,0,0,0,0,0,0,5
P  Parameswaran,0,0,0,4,0,0,0,0,0,0,0,0
PM  Sarvesh Kumar,1,0,0,0,0,0,0,0,0,0,0,0
Paidikalva  Vijaykumar,4,0,0,0,0,0,0,0,0,0,0,0
Palani  Amarnath,7,0,0,0,0,0,0,0,0,0,0,0
Pankaj  Singh,0,2,2,0,7,0,0,0,0,0,0,0
Parveez  Rasool,0,0,0,0,0,1,1,1,1,0,0,0
Parvinder  Awana,0,0,0,0,17,15,7,0,0,0,0,0
Pat  Cummins,0,0,0,0,0,0,1,1,0,15,0,0
Paul  Collingwood,0,0,5,0,0,0,0,0,0,0,0,0
Paul  Valthaty,0,0,0,7,0,0,0,0,0,0,0,0
Pawan  Negi,0,0,0,0,7,0,0,6,1,16,1,3
Pawan  Suyal,0,0,0,0,0,1,1,0,0,0,0,0
Piyush  Chawla,17,12,12,16,16,11,14,11,11,6,14,10
Pradeep  Sahu,0,0,0,0,0,0,0,0,3,0,0,0
Pradeep  Sangwan,5,15,9,0,1,0,0,0,0,5,0,0
Pragyan  Ojha,11,18,21,10,9,16,4,0,0,0,0,0
Prasidh  Krishna,0,0,0,0,0,0,0,0,0,0,10,4
Praveen  Kumar,11,13,10,10,9,12,3,7,9,6,0,0
Pravin  Tambe,0,0,0,0,0,1,15,7,5,0,0,0
Prithvi  Raj,0,0,0,0,0,0,0,0,0,0,0,1
RP  Singh,15,23,13,13,10,13,0,0,3,0,0,0
Rahil  Shaikh,0,0,0,0,0,0,0,0,0,0,0,0
Rahul  Chahar,0,0,0,0,0,0,0,0,0,2,0,13
Rahul  Sharma,0,0,5,16,9,9,1,0,0,0,0,0
Rahul  Shukla,0,0,0,0,0,3,2,0,0,0,0,0
Rahul  Tewatia,0,0,0,0,0,0,2,1,0,3,6,2
Rahul  Tripathi,0,0,0,0,0,0,0,0,0,0,0,0
Raiphi  Gomez,0,0,0,5,0,0,0,0,0,0,0,0
Rajagopal  Sathish,0,0,2,0,0,0,0,0,1,0,0,0
Rajat  Bhatia,6,0,3,8,13,11,12,0,6,2,0,0
Ramesh  Powar,3,5,3,2,0,0,0,0,0,0,0,0
Ranadeb  Bose,0,0,0,0,0,0,0,0,0,0,0,0
Rashid  Khan,0,0,0,0,0,0,0,0,0,17,21,17
Rasikh  Salam,0,0,0,0,0,0,0,0,0,0,0,0
Ravi  Bopara,0,0,5,0,0,0,0,6,0,0,0,0
Ravi  Rampaul,0,0,0,0,0,13,1,0,0,0,0,0
Ravichandran  Ashwin,0,2,13,20,14,15,16,10,10,0,10,15
Ravindra  Jadeja,0,6,0,8,12,13,19,11,8,5,11,15
Rishi  Dhawan,0,0,0,0,0,2,13,1,2,0,0,0
Riyan  Parag,0,0,0,0,0,0,0,0,0,0,0,2
Robin  Peterson,0,0,0,0,3,0,0,0,0,0,0,0
Roelof  van der Merwe,0,9,2,5,2,3,0,0,0,0,0,0
Rohan  Raje,5,1,0,0,0,0,0,0,0,0,0,0
Rohit  Sharma,1,11,2,0,0,0,1,0,0,0,0,0
Ronit  More,0,0,0,0,0,0,0,1,0,0,0,0
Ross  Taylor,0,0,0,0,0,0,0,0,0,0,0,0
Ryan  Harris,0,6,14,16,8,1,0,0,0,0,0,0
Ryan  McLaren,0,0,4,5,0,3,0,0,0,0,0,0
Ryan  Ninan,0,0,0,3,0,0,0,0,0,0,0,0
Ryan  ten Doeschate,0,0,0,0,1,0,1,0,0,0,0,0
SS  Mundhe,0,0,0,1,0,0,0,0,0,0,0,0
Sachin  Baby,0,0,0,0,0,0,0,0,2,0,0,0
Sachin  Rana,0,0,0,0,0,0,0,0,0,0,0,0
Sachin  Tendulkar,0,0,0,0,0,0,0,0,0,0,0,0
Sachithra  Senanayake,0,0,0,0,0,9,0,0,0,0,0,0
Sam  Curran,0,0,0,0,0,0,0,0,0,0,0,10
Samuel  Badree,0,0,0,0,0,0,2,0,0,9,0,0
Sanath  Jayasuriya,4,7,2,0,0,0,0,0,0,0,0,0
Sandeep  Lamichhane,0,0,0,0,0,0,0,0,0,0,5,8
Sandeep  Sharma,0,0,0,0,0,8,18,13,15,17,12,12
Sandeep  Warrier,0,0,0,0,0,0,0,0,0,0,0,2
Sanjay  Bangar,4,0,0,0,0,0,0,0,0,0,0,0
Sarabjit  Ladda,0,0,4,0,0,0,0,0,0,0,0,0
Scott  Boland,0,0,0,0,0,0,0,0,2,0,0,0
Scott  Kuggeleijn,0,0,0,0,0,0,0,0,0,0,0,2
Scott  Styris,3,5,0,0,0,0,0,0,0,0,0,0
Sean  Abbott,0,0,0,0,0,0,0,0,0,0,0,0
Shadab  Jakati,0,13,13,10,9,0,0,0,2,0,0,0
Shahbaz  Nadeem,0,0,0,4,8,9,8,0,2,6,3,2
Shahid  Afridi,9,0,0,0,0,0,0,0,0,0,0,0
Shakib  Al Hasan,0,0,0,11,12,0,11,4,5,0,14,2
Shalabh  Srivastava,0,0,6,8,0,0,0,0,0,0,0,0
Shane  Bond,0,0,9,0,0,0,0,0,0,0,0,0
Shane  Harwood,0,3,0,0,0,0,0,0,0,0,0,0
Shane  Warne,19,14,11,13,0,0,0,0,0,0,0,0
Shane  Watson,17,0,6,6,6,13,7,6,20,5,6,0
Shanthakumaran  Sreesanth,19,6,3,7,0,5,0,0,0,0,0,0
Shardul  Thakur,0,0,0,0,0,0,0,1,0,11,16,8
Shaun  Pollock,11,0,0,0,0,0,0,0,0,0,0,0
Shaun  Tait,0,0,10,6,6,0,0,0,0,0,0,0
Sherfane  Rutherford,0,0,0,0,0,0,0,0,0,0,0,1
